1;Sciences;A quelle température l'eau bout-elle ?;100°C;1 000°C;0°C;50°C
2;Sciences;Quels globules existent dans le corps humain ?;Les globules rouges;Les globules bleus;Les globules violets;Les globules oranges
3;Sciences;Le cœur humain se trouve dans la poitrine. Mais de quel côté ?;À gauche ;Au milieu;À droite;Ce n'est pas dans la poitrine
4;Sciences;De quelle substance se compose notre corps en majeure partie ?;D'eau;De graisse;De sang;De soda
5;Sciences;Quelle couleur obtient-on lorsque qu'on mélange autant de bleu que de jaune ?;Du vert;Du mauve;Du brun;Du rouge
6;Sciences;Quel sens l'Homme ne possède pas ?;D'araignée;La vue;Le toucher;L'ouïe
7;Sciences;Combien de faces à un cube ?;6;12;10;4
8;Sciences;Que produit-on dans une centrale nucléaire ?;De l'énergie;Du pétrole;De l'eau;Du charbon
9;Sciences;Lequel n'est pas soluble dans l'eau ?;Le poivre;Le sucre;Le sel;Aucun des trois
10;Sciences;Le CO2 est la formule chimique du;Dioxyde de carbone;Acide Sulfurique;Dioxyde de Calcium;Dixiriohompoxide de Sulfate
11;Nature;Comment appelle-t-on une grande pierre dressée ? ;Un menhir;un grohir;Un lourhir;Un taphir
12;Nature;Il existe un fruit qui a le même nombre qu'un oiseau lequel-est-il ?;Un kiwi;Une orange;Une banane;Un ananas
13;Nature;Comment appelle-t-on les pierres qui semblent suspendues au plafond dans les grottes ?;Des stalactites;Des stalacgouttes;Des stalagmittes;Des stalagmontes
14;Nature;Les arbres et les plantes vertes purifient l’air grâce au processus de la photosynthèse, qui se déroule :;Le jour;Le jour et la nuit;La nuit;À partir de 20h
15;Nature;Qu’est-ce qu’un geyser ?;Une source dont jaillit de l’eau chaude;Un volcan;Une grotte souterraine;Une rivière
16;Nature;Le plus grand de tous les océans est :;L'océan Pacifique;L'océan Arctique;L'océan Atlantique;L'océan Indien
17;Nature;Quel arbre a encore un feuillage vert en hiver ? ;Le sapin;Le chêne;Le marronier;L'orme
18;Nature;L'arc-en-ciel possede 7 couleurs laquelle n'en fait pas partie ?;Le noir;Le rouge;Le bleu;Le violet
19;Nature;Avec quoi est fait le popcorn que nous mangeons en général ?;Du maïs;Des haricots;Du riz;Du blé
20;Nature;Comment appelle-t-on une montagne qui crache du feu ?;Un volcan;Une météorite;Une avalanche;Le Mont Blanc
21;Monde;Parmi ces quatres langues, laquelle est la plus parlée dans le monde ?;L'anglais;Le français;L'allemand;L'espagnol
22;Monde;Quelle est la capitale de la France ? ;Paris;Melun;Lyon;Lille
23;Monde;Avec quelle lettre les Romains représentaient-ils le chiffre 10 ?;X;V;L;I
24;Monde;Comment appelle-t-on une personne qui dessine des cartes géographiques ?;Un cartographe;Un atlasgraphe;Un géographiste;Un globographe
25;Monde;Comment s’appelle la région d’Amérique du Sud où domine la grande forêt amazonienne ? ;L'Amazonie;L'Amazone;La Transamazonienne;La AmazonForest
26;Monde;Lequel des instruments de musique suivants n’a pas de cordes ? ;La flûte;Le piano;La contrebasse;La guitare
27;Monde;Combien de couleurs y a-t-il sur le drapeau du Royaume-Uni ?;Trois;Quatre;Cinq;Deux
28;Monde;Dans quel pays le président vit-il à la Maison-Blanche ?;Aux États-Unis;En Espagne;En France;En Italie
29;Monde;Quel pays a une feuille d’érable comme symbole national ?;Le Canada;Le Brésil;La Chine;La Martinique
30;Monde;Quel est le nom anglais du Père Noël ?;Santa Claus;Christmas Man;North Friend;Dad of Christmas
31;Animaux;Les poissons n’ont pas de poumons pour respirer. Avec quoi respirent-ils ? ;Leurs branchies;Leurs écailles;Leurs nageoires;Leurs narines
32;Animaux;L’araignée utilise sa toile pour : ;Capturer sa proie;Se reposer;Se déplacer;Pour faire de l'art
33;Animaux;Quel animal nous donne le jambon ?;Le porc;La vache;Le cheval;La poule
34;Animaux;Quel insecte vit dans une ruche et produit du miel ?;L'abeille;Le bourdon;La guêpe;La mouche
35;Animaux;Les kangourous vivent encore à l’état sauvage :;En Australie;En Afrique;Au Mexique;En Argentine
36;Sport;Que frappe t-on avec une raquette de badminton ?;Un volant;Une balle;Une fléchette;Un poids
37;Sport;Au basket-ball, le maximum de points que l’on peut obtenir en un seul lancer est de : ;3 points;1 point;5 points;2 points
38;Sport;Combien de quilles y a-t-il sur la piste de bowling ? ;10;9;12;15
39;Sport;Comment s’appelle le disque en caoutchouc noir avec lequel on joue au hockey sur glace ?;Le palet;Le pulet;Le polet;Le poulet
40;Sport;Quel est le nom d’un vélo pour deux personnes ?;Un tandem;Un véloduo;Un duodem;Un vélodem
41;Sport;Au cours d’un slalom, le skieur doit franchir toutes les portes. S’il en rate une, il :;est pénalisé;est disqualifié;doit recommencer;est félicité
42;Sport;Le judo se pratique essentiellement sur :;Un tatami;La neige;L'eau;Une scène
43;Sport;Le BMX se pratique avec :;Un vélo;Une planche;Une moto;Une voiture
44;Sport;Quelle activité de glisse utilise une planche et se pratique sur l'eau ?;Le surf;Le skateboard;Le canoë-kayak;Le ski 
45;Sport;Dans quel sport doit-on marquer des paniers ?;Le basket-ball;Le football;Le golf;Le handball